,title,year,time(min),genre,rating,metascore,simple_desc,votes,Gross (M$)
40,The Usual Suspects,1995,106,"Crime, Drama, Mystery",8.5,77,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a random police lineup.",1104063,23.34
41,The Pianist,2002,150,"Biography, Drama, Music",8.5,85,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,855647,32.57
42,Psycho,1960,109,"Horror, Mystery, Thriller",8.5,97,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",687390,32.0
43,American History X,1998,119,"Crime, Drama",8.5,62,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",1142933,6.72
44,The Intouchables,2011,112,"Biography, Comedy, Drama",8.5,57,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",881174,13.18
45,Casablanca,1942,102,"Drama, Romance, War",8.5,100,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,583265,1.02
46,Once Upon a Time in the West,1968,165,Western,8.5,82,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,337032,5.32
47,Hotaru no haka,1988,89,"Animation, Drama, War",8.5,94,A young boy and his little sister struggle to survive in Japan during World War II.,287166,4.0
48,Rear Window,1954,112,"Mystery, Thriller",8.5,100,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",501739,36.76
49,Rear Window,1954,112,"Mystery, Thriller",8.5,100,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",501739,36.76
50,Nuovo Cinema Paradiso,1988,155,"Drama, Romance",8.5,80,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,268334,11.99
51,Modern Times,1936,87,"Comedy, Drama, Romance",8.5,96,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,248231,0.16
52,City Lights,1931,87,"Comedy, Drama, Romance",8.5,99,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",188483,0.02
53,Avengers: Endgame,2019,181,"Action, Adventure, Drama",8.4,78,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",1178985,858.37
54,Spider-Man: Into the Spider-Verse,2018,117,"Animation, Action, Adventure",8.4,87,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",563838,190.24
55,Raiders of the Lost Ark,1981,115,"Action, Adventure",8.4,85,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",985754,248.16
56,Avengers: Infinity War,2018,149,"Action, Adventure, Sci-Fi",8.4,68,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,1122418,678.82
57,Oldeuboi,2003,120,"Action, Drama, Mystery",8.4,77,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",596027,0.71
58,Joker,I) (2019,122,"Crime, Drama, Thriller",8.4,59,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution.",1353230,335.45
59,The Shining,1980,146,"Drama, Horror",8.4,66,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",1048617,44.02
60,Django Unchained,2012,165,"Drama, Western",8.4,81,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",1598503,162.81
61,Apocalypse Now,1979,147,"Drama, Mystery, War",8.4,94,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,681922,83.47
62,Memento,2000,113,"Mystery, Thriller",8.4,81,A man with short-term memory loss attempts to track down his wife's murderer.,1263006,25.54
63,The Dark Knight Rises,2012,164,"Action, Drama, Thriller",8.4,78,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",1740843,448.14
64,Aliens,1986,137,"Action, Adventure, Sci-Fi",8.4,84,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",732216,85.16
65,Kimi no na wa.,2016,106,"Animation, Drama, Fantasy",8.4,79,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",286474,5.02
66,Capharnaüm,2018,126,Drama,8.4,75,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",95173,1.66
67,Coco,I) (2017,105,"Animation, Adventure, Comedy",8.4,81,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",533502,209.73
68,WALL·E,2008,98,"Animation, Adventure, Family",8.4,95,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",1142222,223.81
69,Amadeus,1984,160,"Biography, Drama, Music",8.4,88,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",409593,51.97
70,The Lives of Others,2006,137,"Drama, Mystery, Thriller",8.4,89,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",396549,11.29
71,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,"Comedy, War",8.4,97,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",500229,0.28
72,Sunset Blvd.,1950,110,"Drama, Film-Noir",8.4,94,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,226793,5.0
73,Das Boot,1981,149,"Drama, War",8.4,86,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,255558,11.49
74,3 Idiots,2009,170,"Comedy, Drama",8.4,67,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",410659,6.53
75,Witness for the Prosecution,1957,116,"Crime, Drama, Mystery",8.4,76,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,129474,8.18
76,Paths of Glory,1957,88,"Drama, War",8.4,90,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",202158,6.0
77,Tengoku to jigoku,1963,143,"Crime, Drama, Mystery",8.4,90,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,47769,8.0
78,Heat,1995,170,"Action, Crime, Drama",8.3,76,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,675485,67.44
79,Top Gun: Maverick,2022,130,"Action, Drama",8.3,78,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",587919,718.73
80,Good Will Hunting,1997,126,"Drama, Romance",8.3,70,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",1003229,138.43
81,Inglourious Basterds,2009,153,"Adventure, Drama, War",8.3,69,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",1491115,120.54
82,Requiem for a Dream,2000,102,Drama,8.3,71,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,861342,3.64
83,Scarface,1983,170,"Crime, Drama",8.3,65,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",865678,45.6
84,American Beauty,1999,122,Drama,8.3,84,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,1173239,130.1
